  _elev,_surf |   ailrn,_surf |   ruddr,_surf |   nwhel,steer |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag | 
        1.00000 |       1.00000 |       0.00255 |       0.00000 |      24.71324 |       1.06082 |      66.72923 |      55.39756 |
       -1.00000 |       1.00000 |       0.00204 |       0.00000 |      25.23403 |       1.60665 |      66.86130 |      55.52963 |
       -1.00000 |      -0.99200 |       0.00330 |       0.00000 |      24.98677 |       2.91447 |      66.95193 |      55.62027 |
        1.00000 |      -0.99200 |       0.00436 |       0.00000 |      23.94237 |       2.49464 |      66.93887 |      55.60720 |
        1.00000 |       1.00000 |       0.00353 |       0.00000 |      23.68879 |       1.28151 |      66.96679 |      55.63513 |
       -1.00000 |       1.00000 |       0.00277 |       0.00000 |      24.19628 |       1.74511 |      67.07241 |      55.74076 |
       -1.00000 |      -0.99200 |       0.00384 |       0.00000 |      23.94456 |       2.97239 |      67.13525 |      55.80360 |
        1.00000 |      -0.99200 |       0.00475 |       0.00000 |      22.89725 |       2.54860 |      67.10146 |      55.76981 |
        1.00000 |       1.00000 |       0.00381 |       0.00000 |      22.58142 |       1.31673 |      67.11349 |      55.78185 |
       -1.00000 |       1.00000 |       0.00291 |       0.00000 |      22.95849 |       1.70149 |      67.20194 |      55.87030 |
       -1.00000 |      -0.99200 |       0.00393 |       0.00000 |      22.54132 |       2.91381 |      67.25618 |      55.92454 |
        1.00000 |      -0.99200 |       0.00490 |       0.00000 |      21.30540 |       2.42034 |      67.21004 |      55.87841 |
        1.00000 |       1.00000 |       0.00390 |       0.00000 |      20.92870 |       1.11752 |      67.21619 |      55.88456 |
       -1.00000 |       1.00000 |       0.00297 |       0.00000 |      21.23813 |       1.55042 |      67.29967 |      55.96804 |
       -1.00000 |      -0.99200 |       0.00393 |       0.00000 |      20.73652 |       2.65331 |      67.34605 |      56.01443 |
        1.00000 |      -0.99200 |       0.00486 |       0.00000 |      19.50370 |       2.15153 |      67.30714 |      55.97552 |
        1.00000 |       1.00000 |       0.00383 |       0.00000 |      19.12921 |       1.07059 |      67.31977 |      55.98815 |
       -0.65240 |       1.00000 |       0.00312 |       0.00000 |      19.40203 |       1.73879 |      67.39946 |      56.06784 |
       -1.00000 |      -0.99200 |       0.00408 |       0.00000 |      18.95758 |       2.80724 |      67.44026 |      56.10865 |
